,ILI_Cases,Avg_Temp
2014-09-14,13,65.21428571428571
2014-09-21,21,66.5
2014-09-28,12,62.5
2014-10-05,19,60.142857142857146
2014-10-12,64,60.42857142857143
2014-10-19,38,59.714285714285715
2014-10-26,30,54.5
2014-11-02,26,52.785714285714285
2014-11-09,26,52.857142857142854
2014-11-16,34,39.57142857142857
2014-11-23,35,44.714285714285715
2014-11-30,23,45.714285714285715
2014-12-07,47,42.92857142857143
2014-12-14,58,51.07142857142857
2014-12-21,80,48.57142857142857
2014-12-28,47,43.07142857142857
2015-01-04,44,36.714285714285715
2015-01-04,158,36.714285714285715
2015-01-11,202,45.714285714285715
2015-01-18,156,44.642857142857146
2015-01-25,144,47.714285714285715
2015-02-01,111,45.92857142857143
2015-02-08,83,49.714285714285715
2015-02-15,39,50.857142857142854
2015-02-22,54,48.42857142857143
2015-03-01,52,45.785714285714285
2015-03-08,53,46.714285714285715
2015-03-15,37,51.642857142857146
2015-03-22,35,50.857142857142854
2015-03-29,39,53.142857142857146
2015-04-05,19,49.57142857142857
2015-04-12,33,50.785714285714285
2015-04-19,33,51.357142857142854
2015-04-26,22,51.42857142857143
2015-05-03,20,56.42857142857143
2015-05-10,28,57.142857142857146
2015-05-17,4,55.857142857142854
2015-05-24,15,61.214285714285715
2015-05-31,22,63.42857142857143
2015-06-07,14,64.57142857142857
2015-06-14,12,66.07142857142857
2015-06-21,10,66.57142857142857
2015-06-28,9,71.85714285714286
2015-07-05,12,75.92857142857143
2015-07-12,10,69.71428571428571
2015-07-19,0,72.14285714285714
2015-07-26,6,66.5
2015-08-02,4,73.57142857142857
2015-08-09,5,69.21428571428571
2015-08-16,7,69.14285714285714
2015-08-23,6,69.07142857142857
2015-08-30,10,66.35714285714286
2015-09-06,5,59.42857142857143
2015-09-13,15,66.07142857142857
2015-09-20,14,60.142857142857146
2015-09-27,30,57.5
2015-10-04,32,58.857142857142854
2015-10-11,40,60.0
2015-10-18,21,57.5
2015-10-25,55,55.07142857142857
2015-11-01,24,54.57142857142857
2015-11-08,21,48.857142857142854
2015-11-15,22,46.5
2015-11-22,7,42.857142857142854
2015-11-29,15,37.57142857142857
2015-12-06,27,45.714285714285715
2015-12-13,19,48.07142857142857
2015-12-20,13,41.42857142857143
2015-12-27,20,38.714285714285715
2016-01-03,25,36.285714285714285
2016-01-10,38,41.142857142857146
2016-01-17,49,43.92857142857143
2016-01-24,56,46.214285714285715
2016-01-31,76,47.142857142857146
2016-02-07,93,43.5
2016-02-14,120,49.857142857142854
2016-02-21,127,48.07142857142857
2016-02-28,87,48.142857142857146
2016-03-06,75,50.714285714285715
2016-03-13,44,46.857142857142854
2016-03-20,71,48.57142857142857
2016-03-27,66,48.92857142857143
2016-04-03,57,54.57142857142857
2016-04-10,42,56.07142857142857
2016-04-17,22,54.07142857142857
2016-04-24,31,62.142857142857146
2016-05-01,20,55.642857142857146
2016-05-08,16,62.285714285714285
2016-05-15,15,60.357142857142854
2016-05-22,8,56.92857142857143
2016-05-29,8,57.92857142857143
2016-06-05,13,67.92857142857143
2016-06-12,8,63.142857142857146
2016-06-19,6,57.785714285714285
2016-06-26,5,63.642857142857146
2016-07-03,6,65.5
2016-07-10,7,63.642857142857146
2016-07-17,5,66.28571428571429
